r_mm,sag1_mm,min_sag1_mm,max_sag1_mm,sag2_mm,min_sag2_mm,max_sag2_mm
0.17,0,-0.01,0.01,-0.156002821773223,-0.166002821773223,-0.146002821773223
0.171,0,-0.01,0.01,-0.156033164455702,-0.166033164455702,-0.146033164455702
0.172,0,-0.01,0.01,-0.156063488495948,-0.166063488495948,-0.146063488495948
0.173,0,-0.01,0.01,-0.15609379389396,-0.16609379389396,-0.14609379389396
0.174,0,-0.01,0.01,-0.15612408064974,-0.16612408064974,-0.14612408064974
0.175,0,-0.01,0.01,-0.156154348763285,-0.166154348763285,-0.146154348763285
0.176,0,-0.01,0.01,-0.156184598234598,-0.166184598234598,-0.146184598234598
0.177,0,-0.01,0.01,-0.156214829063677,-0.166214829063677,-0.146214829063677
0.178,0,-0.01,0.01,-0.156245041250523,-0.166245041250523,-0.146245041250523
0.179,0,-0.01,0.01,-0.156275234795136,-0.166275234795136,-0.146275234795136
0.18,0,-0.01,0.01,-0.156305409697516,-0.166305409697516,-0.146305409697516
0.181,0,-0.01,0.01,-0.156335565957662,-0.166335565957662,-0.146335565957662
0.182,0,-0.01,0.01,-0.156365703575575,-0.166365703575575,-0.146365703575575
0.183,0,-0.01,0.01,-0.156395822551255,-0.166395822551255,-0.146395822551255
0.184,0,-0.01,0.01,-0.156425922884702,-0.166425922884702,-0.146425922884701
0.185,0,-0.01,0.01,-0.156456004575915,-0.166456004575915,-0.146456004575915
0.186,0,-0.01,0.01,-0.156486067624895,-0.166486067624895,-0.146486067624895
0.187,0,-0.01,0.01,-0.156516112031642,-0.166516112031642,-0.146516112031642
0.188,0,-0.01,0.01,-0.156546137796155,-0.166546137796155,-0.146546137796155
0.189,0,-0.01,0.01,-0.156576144918435,-0.166576144918435,-0.146576144918435
0.19,0,-0.01,0.01,-0.156606133398482,-0.166606133398482,-0.146606133398482
0.191,0,-0.01,0.01,-0.156636103236296,-0.166636103236296,-0.146636103236296
0.192,0,-0.01,0.01,-0.156666054431876,-0.166666054431876,-0.146666054431876
0.193,0,-0.01,0.01,-0.156695986985224,-0.166695986985224,-0.146695986985224
0.194,0,-0.01,0.01,-0.156725900896337,-0.166725900896337,-0.146725900896337
0.195,0,-0.01,0.01,-0.156755796165218,-0.166755796165218,-0.146755796165218
0.196,0,-0.01,0.01,-0.156785672791866,-0.166785672791866,-0.146785672791865
0.197,0,-0.01,0.01,-0.15681553077628,-0.16681553077628,-0.14681553077628
0.198,0,-0.01,0.01,-0.156845370118461,-0.166845370118461,-0.146845370118461
0.199,0,-0.01,0.01,-0.156875190818408,-0.166875190818408,-0.146875190818408
0.2,0,-0.01,0.01,-0.156904992876123,-0.166904992876123,-0.146904992876123
0.201,0,-0.01,0.01,-0.156934776291604,-0.166934776291604,-0.146934776291604
0.202,0,-0.01,0.01,-0.156964541064851,-0.166964541064851,-0.146964541064851
0.203,0,-0.01,0.01,-0.156994287195866,-0.166994287195866,-0.146994287195866
0.204,0,-0.01,0.01,-0.157024014684647,-0.167024014684647,-0.147024014684647
0.205,0,-0.01,0.01,-0.157053723531195,-0.167053723531195,-0.147053723531195
0.206,0,-0.01,0.01,-0.15708341373551,-0.16708341373551,-0.14708341373551
0.207,0,-0.01,0.01,-0.157113085297592,-0.167113085297592,-0.147113085297592
0.208,0,-0.01,0.01,-0.15714273821744,-0.16714273821744,-0.14714273821744
0.209,0,-0.01,0.01,-0.157172372495055,-0.167172372495055,-0.147172372495055
0.21,0,-0.01,0.01,-0.157201988130437,-0.167201988130437,-0.147201988130437
0.211,0,-0.01,0.01,-0.157231585123585,-0.167231585123585,-0.147231585123585
0.212,0,-0.01,0.01,-0.157261163474501,-0.167261163474501,-0.147261163474501
0.213,0,-0.01,0.01,-0.157290723183183,-0.167290723183183,-0.147290723183183
0.214,0,-0.01,0.01,-0.157320264249631,-0.167320264249631,-0.147320264249631
0.215,0,-0.01,0.01,-0.157349786673847,-0.167349786673847,-0.147349786673847
0.216,0,-0.01,0.01,-0.157379290455829,-0.167379290455829,-0.147379290455829
0.217,0,-0.01,0.01,-0.157408775595578,-0.167408775595578,-0.147408775595578
0.218,0,-0.01,0.01,-0.157438242093094,-0.167438242093094,-0.147438242093094
0.219,0,-0.01,0.01,-0.157467689948376,-0.167467689948376,-0.147467689948376
0.22,0,-0.01,0.01,-0.157497119161425,-0.167497119161425,-0.147497119161425
0.221,0,-0.01,0.01,-0.157526529732241,-0.167526529732241,-0.147526529732241
0.222,0,-0.01,0.01,-0.157555921660824,-0.167555921660824,-0.147555921660824
0.223,0,-0.01,0.01,-0.157585294947173,-0.167585294947173,-0.147585294947173
0.224,0,-0.01,0.01,-0.157614649591289,-0.167614649591289,-0.147614649591289
0.225,0,-0.01,0.01,-0.157643985593172,-0.167643985593172,-0.147643985593172
0.226,0,-0.01,0.01,-0.157673302952822,-0.167673302952822,-0.147673302952822
0.227,0,-0.01,0.01,-0.157702601670238,-0.167702601670238,-0.147702601670238
0.228,0,-0.01,0.01,-0.157731881745421,-0.167731881745421,-0.147731881745421
0.229,0,-0.01,0.01,-0.157761143178371,-0.167761143178371,-0.147761143178371
0.23,0,-0.01,0.01,-0.157790385969087,-0.167790385969087,-0.147790385969087
0.231,0,-0.01,0.01,-0.157819610117571,-0.167819610117571,-0.147819610117571
0.232,0,-0.01,0.01,-0.157848815623821,-0.167848815623821,-0.147848815623821
0.233,0,-0.01,0.01,-0.157878002487837,-0.167878002487837,-0.147878002487837
0.234,0,-0.01,0.01,-0.157907170709621,-0.167907170709621,-0.147907170709621
0.235,0,-0.01,0.01,-0.157936320289171,-0.167936320289171,-0.147936320289171
0.236,0,-0.01,0.01,-0.157965451226488,-0.167965451226488,-0.147965451226488
0.237,0,-0.01,0.01,-0.157994563521572,-0.167994563521572,-0.147994563521572
0.238,0,-0.01,0.01,-0.158023657174422,-0.168023657174422,-0.148023657174422
0.239,0,-0.01,0.01,-0.15805273218504,-0.16805273218504,-0.14805273218504
0.24,0,-0.01,0.01,-0.158081788553424,-0.168081788553424,-0.148081788553424
0.241,0,-0.01,0.01,-0.158110826279574,-0.168110826279574,-0.148110826279574
0.242,0,-0.01,0.01,-0.158139845363492,-0.168139845363492,-0.148139845363492
